Date,Price,Open,High,Low,Vol.,Change %
2026-01-25,2943.06,2953.26,2959.36,2938.23,98090.0,-0.35
2026-01-24,2953.25,2957.13,2970.32,2949.72,102430.0,-0.11
2026-01-23,2956.47,2953.23,3016.58,2898.4,359700.0,0.13
2026-01-22,2952.71,2986.09,3036.86,2908.43,320830.0,-0.99
2026-01-21,2982.26,2945.33,3065.67,2867.89,631770.0,1.45
2026-01-20,2939.74,3187.57,3199.52,2933.33,566690.0,-7.83
2026-01-19,3189.54,3283.88,3283.88,3166.95,490130.0,-2.86
2026-01-18,3283.32,3308.27,3367.95,3279.7,200500.0,-0.82
2026-01-17,3310.44,3296.26,3329.07,3283.94,145160.0,0.43
2026-01-16,3296.37,3318.77,3326.25,3253.1,270940.0,-0.67
2026-01-15,3318.51,3354.51,3384.08,3277.21,461630.0,-1.07
2026-01-14,3354.51,3333.05,3397.67,3283.26,609930.0,0.87
2026-01-13,3325.69,3095.64,3354.2,3092.02,520419.99999999994,7.43
2026-01-12,3095.64,3123.35,3170.63,3073.34,335630.0,-0.85
2026-01-11,3122.22,3084.7,3145.69,3084.7,165480.0,1.15
2026-01-10,3086.66,3087.39,3103.39,3078.83,97490.0,-0.05
2026-01-09,3088.34,3106.65,3142.87,3060.74,305970.0,-0.58
2026-01-08,3106.41,3168.76,3182.21,3057.92,388860.0,-1.97
2026-01-07,3168.74,3296.76,3296.76,3127.5,382610.0,-3.88
2026-01-06,3296.5,3224.9,3306.35,3192.8,483140.0,2.22
2026-01-05,3224.79,3144.73,3263.74,3136.85,452430.0,2.55
2026-01-04,3144.63,3127.0,3162.06,3120.5,219510.0,0.56
2026-01-03,3127.0,3125.38,3136.58,3077.72,157850.0,0.06
2026-01-02,3125.08,3004.18,3147.85,2993.86,424110.0,4.02
2026-01-01,3004.18,2971.69,3009.89,2971.69,151750.0,1.09
2025-12-31,2971.69,2973.77,3023.29,2962.47,260899.99999999997,-0.1
2025-12-30,2974.63,2937.93,3004.9,2919.73,322340.0,1.22
2025-12-29,2938.75,2947.14,3056.13,2912.6,563240.0,-0.39
2025-12-28,2950.33,2949.17,2959.25,2927.49,141120.0,0.05
2025-12-27,2948.85,2928.07,2959.14,2918.01,116380.0,0.71
2025-12-26,2928.06,2904.13,2991.85,2895.12,368380.0,0.81
2025-12-25,2904.44,2947.39,2970.81,2891.68,230780.0,-1.46
2025-12-24,2947.39,2965.01,2977.24,2890.62,232810.0,-0.59
2025-12-23,2964.86,3009.26,3035.36,2902.67,427870.0,-1.42
2025-12-22,3007.61,3002.05,3072.66,2965.26,337840.0,0.19
2025-12-21,3001.84,2978.07,3011.43,2945.0,180210.0,0.79
2025-12-20,2978.27,2979.55,2994.22,2968.51,104970.0,-0.04
2025-12-19,2979.55,2828.61,3015.04,2812.35,577970.0,5.34
2025-12-18,2828.61,2833.42,2996.32,2778.73,668530.0,-0.17
2025-12-17,2833.42,2962.31,3027.25,2792.22,562140.0,-4.35
2025-12-16,2962.31,2964.91,2977.68,2884.92,411020.0,-0.09
2025-12-15,2964.91,3062.53,3175.79,2901.43,587260.0,-3.19
